	Importance	Categorical
SHSWANGR	0	
SHSWEAT	0	
SHSWBRK	0	
FDOCEAT	0	
FDOCFITE	0	
YSDSREL	0	
YMDEYR	0	
YSDSWRK	0	
YSDSHOME	0	
YALTMDE	0	
YHLTMDE	0	
YMDETXRX	0	
YMDEUDPY	0	
YMDELT	0	
FDOCFMLY	0	
MHSUITRY	0	
FDOCOTH2	0	
FDOCMEND	0	
FDOCSCHL	0	
FDOCOTPP	0	
FDOCFRND	0	
WSPDSC2	0	
PARLMTSN	0	
MHSUIPLN	0	
CATAG2	0	
CIGPLANE	0	
CIGFNSMK	0	
DIFFERAND	0	
IIMARITSTAT	0	
IIEDUHIGHST2	0	
CATAGE	0	
CATAG3	0	
PREG	0	
CATAG6	0	
CATAG7	0	
COLDMONR	0	
COLDFLGR	0	
PDEN10	0	
INCOME	0	
CIGRNOUT	0	
TRIMEST	0	
IRWELMOS	0	
DIFFSEE	0	
DIFFHEAR	0	
ASTHMAEVR	0	
KIDNYDSEV	0	
HEPBCEVER	0	
CIRROSEVR	0	
COPDEVER	0	
STDANYYR	0	
DIFFWALK	0	
HPALCTX	0	
HPALCCUT	0	
HPALCPRB	0	
HPALCFRQ	0	
HPALCAMT	0	
NMVSOEST	0	
GOVTPROG	0	
IRFAMSVC	0	
HRTCONDAG	0	
MILSPOUSE	0	
WRKLASTYR2	0	
MARIEDNUM2	0	
WRKEFFORT	0	
WRK35WKUS	0	
WRKHADJOB	0	
MILFAMILY	0	
COLLENRST	0	
EDUSICKMO	0	
COLLENRFT	0	
MILOTHFAM	0	
MILSISTER	0	
MILBROTHR	0	
MILDAUGHT	0	
MILFATHER	0	
EDUSKIPMO	0	
WRKDRGALB	0	
IRFAMSSI	0	
IIWRKSTAT18	0	
IRFAMSOC	0	
CELLWRKNG	0	
EDUHIGHCAT	0	
IFATHER	0	
IMOTHER	0	
II2WRKST18	0	
HEALTH2	0	
EDUFULPRT	0	
II2WRKSTAT	0	
IIWRKSTAT	0	
EDUENROLL	0	
EDUGRDNOW2	0	
WRKTSTHIR	0	
WRKTSTDRG	0	
CANCEREVR	0	
DIABETEAG	0	
MHSUTK_U	0	
SEXIDENT	0	
PRMJEVR2	0	
PRPKCIG2	0	
YOATTAK2	0	
YOHGUN2	0	
YOGRPFT2	0	
YOFIGHT2	0	
PRPROUD2	0	
PRALDLY2	0	
PRGDJOB2	0	
MILMOTHER	0	
PRLMTTV2	0	
PRCHORE2	0	
PARHLPHW	0	
PARCHKHW	0	
PRMJMO	0	
YFLPKCG2	0	
STNDALC	0	
RLGATTD	0	
MHSUITHK	0	
SPDYR	0	
SPDMON	0	
RLGFRND	0	
RLGDCSN	0	
RLGIMPT	0	
PREVIOL2	0	
YFLTMRJ2	0	
PRBSOLV2	0	
PRTALK3	0	
FRDMJMON	0	
FRDMEVR2	0	
FRDPCIG2	0	
YFLADLY2	0	
STNDDNK	0	
STNDSCIG	0	
CIRROSAGE	0	
AMHSVNO	0	
MHLDTMT3	0	
MHLCLNC3	0	
MHLDOC3	0	
MHLMNT3	0	
AMHTXAND	0	
AMHTXND2	0	
AMHRX2	0	
MHLOTH3	0	
AMHOUTP3	0	
AMHINP2	0	
HIVAIDSAG	0	
ASTHMAAGE	0	
KIDNYDSAG	0	
